    BEQYUS,      Fe17, 2,       O47, 2.011, 0.431
    MEZBEY,       Fe1, 2,       O1F, 1.909, 0.568
    MEZBEY,       Fe1, 2,       N1F, 2.129, 0.378
    MEZBEY,       Fe1, 2,        O1, 1.909, 0.568
    MEZBEY,       Fe1, 2,        N1, 2.129, 0.378
    WOQCOV,       Fe1, 2,       N3D, 2.241, 0.279
    WOQCOV,       Fe1, 2,       N6F, 2.176, 0.333
    WOQCOV,       Fe1, 2,       O1D, 2.078, 0.360
    WOQCOV,       Fe1, 2,       N6B, 2.176, 0.333
    WOQCOV,       Fe1, 2,        N3, 2.241, 0.279
    WOQCOV,       Fe1, 2,        O1, 2.078, 0.360
    ABUFUA,       Fe1, 2,       O1B, 2.145, 0.300
    ABUFUA,       Fe1, 2,       O3B, 2.133, 0.310
    ABUFUA,       Fe1, 2,        O3, 2.133, 0.310
    ABUFUA,       Fe1, 2,       O2C, 2.091, 0.348
    ABUFUA,       Fe1, 2,        O1, 2.145, 0.300
    ABUFUA,       Fe1, 2,       O2A, 2.091, 0.348
    XEFWIP,       Fe1, 2,        N1, 2.239, 0.281
    XEFWIP,       Fe1, 2,        N2, 2.122, 0.385
    XEFWIP,       Fe1, 2,        N3, 2.275, 0.255
    XEFWIP,       Fe1, 2,       Cl1, 2.276, 0.558
    XEFWIP,       Fe1, 2,       Cl2, 2.329, 0.483
    DECLAZ,       Fe2, 2,        O7, 2.021, 0.420
    DECLAZ,       Fe2, 2,        O6, 2.137, 0.307
    DECLAZ,       Fe2, 2,        O5, 2.023, 0.418
    DECLAZ,       Fe2, 2,        N2, 2.092, 0.418
    DECLAZ,       Fe2, 2,        O8, 2.130, 0.313
  MDTHCF11,       Fe1, 2,      Cl2B, 2.338, 0.472
  MDTHCF11,       Fe1, 2,      Cl1B, 2.293, 0.533
  MDTHCF11,       Fe1, 2,       Cl1, 2.293, 0.533
  MDTHCF11,       Fe1, 2,       Cl2, 2.338, 0.472
    PUPGUC,       Fe4, 2,        S3, 2.350, 0.544
    PUPGUC,       Fe4, 2,        N4, 1.905, 0.692
    PUPGUC,       Fe4, 2,        S4, 2.349, 0.546
    BEQYUS,      Fe14, 2,       O28, 2.206, 0.255
    BEQYUS,      Fe14, 2,       O27, 2.051, 0.387
    BEQYUS,      Fe14, 2,       N18, 2.141, 0.366
    BEQYUS,      Fe14, 2,       O36, 1.988, 0.459
    BEQYUS,      Fe14, 2,       N23, 2.418, 0.173
    BEQYUS,      Fe14, 2,       O40, 2.154, 0.293
    PUPGUC,       Fe1, 2,        S2, 2.362, 0.527
    PUPGUC,       Fe1, 2,        S1, 2.357, 0.534
    PUPGUC,       Fe1, 2,        N1, 1.875, 0.751
    PUPGUC,       Fe2, 2,        S2, 2.432, 0.436
    PUPGUC,       Fe2, 2,        N2, 1.887, 0.727
