    KEHJIR,       Mg1, 2,       O1B, 2.086, 0.346
    KEHJIR,       Mg1, 2,        N1, 2.523, 0.162
    KEHJIR,       Mg1, 2,        O4, 1.940, 0.513
    KEHJIR,       Mg1, 2,       O2B, 2.182, 0.267
    KEHJIR,       Mg1, 2,        O2, 2.182, 0.267
    KEHJIR,       Mg1, 2,        O1, 2.086, 0.346
    LUVMUK,       Mg1, 2,       O1A, 2.056, 0.375
    LUVMUK,       Mg1, 2,       O3A, 2.072, 0.359
    LUVMUK,       Mg1, 2,        O3, 2.072, 0.359
    LUVMUK,       Mg1, 2,        O2, 2.092, 0.340
    LUVMUK,       Mg1, 2,        O1, 2.056, 0.375
    LUVMUK,       Mg1, 2,       O2A, 2.092, 0.340
    GUZZEG,       Mg1, 2,       O1E, 1.864, 0.630
    GUZZEG,       Mg1, 2,       O2E, 2.063, 0.368
    GUZZEG,       Mg1, 2,        O2, 2.063, 0.368
    GUZZEG,       Mg1, 2,        O1, 1.864, 0.630
    ELUVAJ,       Mg1, 2,        O6, 2.083, 0.349
    ELUVAJ,       Mg1, 2,       O3A, 2.054, 0.377
    ELUVAJ,       Mg1, 2,        N1, 2.197, 0.391
    ELUVAJ,       Mg1, 2,        O5, 2.039, 0.393
    ELUVAJ,       Mg1, 2,        O1, 2.077, 0.354
    ELUVAJ,       Mg1, 2,       O2A, 2.040, 0.391
    LUMGEF,       Mg3, 2,      Br3A, 2.556, 0.474
    LUMGEF,       Mg3, 2,       Br4, 2.827, 0.228
    LUMGEF,       Mg3, 2,       Br2, 2.646, 0.372
    LUMGEF,       Mg3, 2,       Br1, 2.591, 0.431
    LUMGEF,       Mg3, 2,        O5, 2.038, 0.394
    LUMGEF,       Mg3, 2,        O1, 2.027, 0.405
    LUMGEF,       Mg2, 2,       Br5, 2.609, 0.411
    LUMGEF,       Mg2, 2,       Br4, 2.817, 0.234
    LUMGEF,       Mg2, 2,       Br2, 2.614, 0.405
    LUMGEF,       Mg2, 2,        O4, 2.113, 0.321
    LUMGEF,       Mg2, 2,        O3, 2.071, 0.360
    LUMGEF,       Mg2, 2,        O1, 2.018, 0.415
    LUMGEF,       Mg1, 2,       Br5, 2.679, 0.340
    LUMGEF,       Mg1, 2,       Br4, 2.774, 0.263
    LUMGEF,       Mg1, 2,       Br3, 2.566, 0.462
    LUMGEF,       Mg1, 2,       Br1, 2.595, 0.427
    LUMGEF,       Mg1, 2,        O2, 2.065, 0.366
    LUMGEF,       Mg1, 2,        O1, 2.014, 0.420
    KIDLUF,       Mg1, 2,       O1A, 2.091, 0.341
    KIDLUF,       Mg1, 2,       O3A, 2.115, 0.320
    KIDLUF,       Mg1, 2,        O3, 2.115, 0.320
    KIDLUF,       Mg1, 2,        O2, 2.069, 0.362
    KIDLUF,       Mg1, 2,        O1, 2.091, 0.341
    KIDLUF,       Mg1, 2,       O2A, 2.069, 0.362
    QERJIH,       Mg1, 2,        O6, 2.038, 0.394
    QERJIH,       Mg1, 2,        O5, 2.124, 0.312
    QERJIH,       Mg1, 2,        O4, 2.045, 0.386
    QERJIH,       Mg1, 2,        O3, 2.032, 0.400
    QERJIH,       Mg1, 2,        O2, 2.117, 0.318
    QERJIH,       Mg1, 2,        O1, 2.040, 0.391
    YARTAM,       Mg1, 2,        O2, 2.161, 0.282
    YARTAM,       Mg1, 2,        N1, 2.166, 0.426
    YARTAM,       Mg1, 2,        N2, 2.153, 0.441
    YARTAM,       Mg1, 2,        O4, 2.193, 0.259
    YARTAM,       Mg1, 2,        O3, 2.191, 0.260
    YARTAM,       Mg1, 2,        O5, 2.092, 0.340
    YARTAM,       Mg1, 2,        O1, 2.144, 0.296
    OPUGIQ,       Mg1, 2,       O10, 2.083, 0.349
