    SEKLOK,       Fe1, 3,       N4D, 1.958, 0.525,0,1.7194345035746008
    SEKLOK,       Fe1, 3,        N6, 1.956, 0.528,0,1.7194345035746008
    LONBOF,       Fe2, 3,       N12, 2.102, 0.356,0,1.7194345035746008
    LONBOF,       Fe2, 3,       N15, 2.039, 0.422,0,1.7194345035746008
    LONBOF,       Fe2, 3,       N18, 2.172, 0.294,0,1.7194345035746008
    LONBOF,       Fe2, 3,       N19, 2.051, 0.408,0,1.7194345035746008
    LONBOF,       Fe2, 3,       N21, 2.170, 0.296,0,1.7194345035746008
    LONBOF,       Fe2, 3,       N20, 2.055, 0.404,0,1.7194345035746008
    OSUMEV,       Fe1, 3,        N8, 1.968, 0.511,0,1.7194345035746008
    OSUMEV,       Fe1, 3,        N9, 1.971, 0.507,0,1.7194345035746008
    OSUMEV,       Fe1, 3,        N2, 1.937, 0.555,0,1.7194345035746008
    OSUMEV,       Fe1, 3,        N3, 1.969, 0.509,0,1.7194345035746008
    OSUMEV,       Fe1, 3,        N4, 1.957, 0.526,0,1.7194345035746008
    OSUMEV,       Fe1, 3,        N7, 1.914, 0.591,0,1.7194345035746008
    AROLID,       Fe1, 3,        N1, 1.916, 0.588,0,1.7194345035746008
    AROLID,       Fe1, 3,        N2, 1.910, 0.597,0,1.7194345035746008
    AROLID,       Fe1, 3,        N3, 1.927, 0.571,0,1.7194345035746008
    AROLID,       Fe1, 3,        N4, 1.905, 0.606,0,1.7194345035746008
    AROLID,       Fe1, 3,        N6, 2.064, 0.394,0,1.7194345035746008
    AROLID,       Fe1, 3,        N7, 2.075, 0.383,0,1.7194345035746008
    QADFEH,       Fe1, 3,       N2F, 1.960, 0.522,0,1.7194345035746008
    QADFEH,       Fe1, 3,       N3F, 1.964, 0.516,0,1.7194345035746008
    QADFEH,       Fe1, 3,       N1F, 1.978, 0.497,0,1.7194345035746008
    QADFEH,       Fe1, 3,        N1, 1.978, 0.497,0,1.7194345035746008
    QADFEH,       Fe1, 3,        N2, 1.960, 0.522,0,1.7194345035746008
    QADFEH,       Fe1, 3,        N3, 1.964, 0.516,0,1.7194345035746008
    NEQRAC,       Fe1, 3,       N10, 1.973, 0.504,0,1.7194345035746008
    NEQRAC,       Fe1, 3,        N1, 2.233, 0.250,0,1.7194345035746008
    NEQRAC,       Fe1, 3,        N2, 2.266, 0.228,0,1.7194345035746008
    NEQRAC,       Fe1, 3,        N3, 2.225, 0.255,0,1.7194345035746008
