    LUGXAN,       Fe1, 2,        N3, 2.216, 0.191,0,1.6035209463714926
    LUGXAN,       Fe1, 2,        N5, 2.126, 0.244,0,1.6035209463714926
    LUGXAN,       Fe1, 2,        N7, 2.190, 0.205,0,1.6035209463714926
    CIDBIA,       Fe2, 2,       N12, 1.964, 0.377,0,1.6035209463714926
    CIDBIA,       Fe2, 2,       N10, 1.947, 0.395,0,1.6035209463714926
    CIDBIA,       Fe2, 2,       N11, 1.964, 0.377,0,1.6035209463714926
    CIDBIA,       Fe2, 2,        N8, 1.953, 0.389,0,1.6035209463714926
    CIDBIA,       Fe2, 2,        N9, 1.949, 0.393,0,1.6035209463714926
    CIDBIA,       Fe2, 2,        N7, 1.961, 0.381,0,1.6035209463714926
    ULOFEH,       Fe1, 2,        N8, 2.189, 0.205,0,1.6035209463714926
    ULOFEH,       Fe1, 2,        N9, 2.228, 0.185,0,1.6035209463714926
    ULOFEH,       Fe1, 2,        N2, 2.171, 0.216,0,1.6035209463714926
    ULOFEH,       Fe1, 2,        N3, 2.253, 0.173,0,1.6035209463714926
    ULOFEH,       Fe1, 2,        N5, 2.183, 0.209,0,1.6035209463714926
    ULOFEH,       Fe1, 2,        N6, 2.200, 0.199,0,1.6035209463714926
    GAYBUF,       Fe1, 2,       N3A, 2.160, 0.222,0,1.6035209463714926
    GAYBUF,       Fe1, 2,       N2A, 2.153, 0.226,0,1.6035209463714926
    GAYBUF,       Fe1, 2,       N1A, 2.196, 0.202,0,1.6035209463714926
    GAYBUF,       Fe1, 2,        N1, 2.196, 0.202,0,1.6035209463714926
    GAYBUF,       Fe1, 2,        N2, 2.153, 0.226,0,1.6035209463714926
    GAYBUF,       Fe1, 2,        N3, 2.160, 0.222,0,1.6035209463714926
  CERDEJ01,       Fe1, 2,       N3A, 2.132, 0.240,0,1.6035209463714926
  CERDEJ01,       Fe1, 2,       N1A, 2.188, 0.206,0,1.6035209463714926
  CERDEJ01,       Fe1, 2,        N1, 2.188, 0.206,0,1.6035209463714926
  CERDEJ01,       Fe1, 2,        N3, 2.132, 0.240,0,1.6035209463714926
  CERDEJ01,       Fe1, 2,        N5, 2.227, 0.185,0,1.6035209463714926
