    TAZTAP,       Fe1, 2,       N2C, 2.172, 0.219,0,1.6102359194747378
    TAZTAP,       Fe1, 2,       N3C, 2.166, 0.223,0,1.6102359194747378
    TAZTAP,       Fe1, 2,       N1C, 2.178, 0.216,0,1.6102359194747378
    TAZTAP,       Fe1, 2,        N1, 2.178, 0.216,0,1.6102359194747378
    TAZTAP,       Fe1, 2,        N2, 2.172, 0.219,0,1.6102359194747378
    TAZTAP,       Fe1, 2,        N3, 2.166, 0.223,0,1.6102359194747378
    JIRFEW,       Fe1, 2,        N1, 1.901, 0.456,0,1.6102359194747378
    JIRFEW,       Fe1, 2,        N2, 1.907, 0.448,0,1.6102359194747378
    JIRFEW,       Fe1, 2,        N3, 1.903, 0.453,0,1.6102359194747378
    JIRFEW,       Fe1, 2,        N4, 1.898, 0.459,0,1.6102359194747378
    JIRFEW,       Fe1, 2,        N5, 1.906, 0.450,0,1.6102359194747378
    JIRFEW,       Fe1, 2,        N6, 1.903, 0.453,0,1.6102359194747378
    VODHIG,       Fe1, 2,        N1, 1.911, 0.444,0,1.6102359194747378
    VODHIG,       Fe1, 2,        N2, 1.914, 0.440,0,1.6102359194747378
    VODHIG,       Fe1, 2,        N3, 1.929, 0.423,0,1.6102359194747378
    VODHIG,       Fe1, 2,        N4, 2.095, 0.270,0,1.6102359194747378
    VODHIG,       Fe1, 2,        N5, 2.079, 0.282,0,1.6102359194747378
    VODHIG,       Fe1, 2,        N6, 2.077, 0.283,0,1.6102359194747378
  LAQYIM01,       Fe1, 2,        N8, 2.146, 0.235,0,1.6102359194747378
  LAQYIM01,       Fe1, 2,        N9, 2.196, 0.205,0,1.6102359194747378
  LAQYIM01,       Fe1, 2,        N2, 2.204, 0.201,0,1.6102359194747378
  LAQYIM01,       Fe1, 2,        N3, 2.152, 0.231,0,1.6102359194747378
  LAQYIM01,       Fe1, 2,        N4, 2.175, 0.217,0,1.6102359194747378
  LAQYIM01,       Fe1, 2,        N7, 2.168, 0.221,0,1.6102359194747378
    RISSUI,       Fe1, 2,        N1, 1.974, 0.374,0,1.6102359194747378
