    AZOQOV,       Fe1, 3,        O6, 2.114, 0.373,0,1.7489501731195423
    AZOQOV,       Fe1, 3,        O2, 1.916, 0.637,0,1.7489501731195423
    AZOQOV,       Fe2, 3,       O14, 2.111, 0.376,0,1.7489501731195423
    AZOQOV,       Fe2, 3,       O25, 2.071, 0.419,0,1.7489501731195423
    AZOQOV,       Fe2, 3,        O6, 2.061, 0.430,0,1.7489501731195423
    AZOQOV,       Fe2, 3,        O5, 1.946, 0.587,0,1.7489501731195423
    AZOQOV,       Fe2, 3,        O2, 1.932, 0.610,0,1.7489501731195423
    AZOQOV,       Fe2, 3,        O1, 2.078, 0.411,0,1.7489501731195423
    AZOQOV,       Fe3, 3,       O38, 1.997, 0.512,0,1.7489501731195423
    AZOQOV,       Fe3, 3,       O12, 1.922, 0.626,0,1.7489501731195423
    AZOQOV,       Fe3, 3,       O23, 2.030, 0.468,0,1.7489501731195423
    AZOQOV,       Fe3, 3,       O40, 1.959, 0.567,0,1.7489501731195423
    AZOQOV,       Fe3, 3,        O7, 2.133, 0.354,0,1.7489501731195423
    AZOQOV,       Fe3, 3,        O6, 2.088, 0.400,0,1.7489501731195423
    AZOQOV,       Fe4, 3,       O12, 1.909, 0.649,0,1.7489501731195423
    AZOQOV,       Fe4, 3,       O11, 2.102, 0.385,0,1.7489501731195423
    AZOQOV,       Fe4, 3,       O35, 2.065, 0.426,0,1.7489501731195423
    AZOQOV,       Fe4, 3,       O37, 2.095, 0.392,0,1.7489501731195423
    AZOQOV,       Fe4, 3,        O8, 1.926, 0.620,0,1.7489501731195423
    AZOQOV,       Fe4, 3,        O7, 2.053, 0.440,0,1.7489501731195423
    AZOQOV,       Fe5, 3,       O39, 2.094, 0.394,0,1.7489501731195423
    AZOQOV,       Fe5, 3,       O12, 1.905, 0.656,0,1.7489501731195423
    AZOQOV,       Fe5, 3,       O10, 1.939, 0.598,0,1.7489501731195423
    AZOQOV,       Fe5, 3,       O29, 2.063, 0.428,0,1.7489501731195423
    AZOQOV,       Fe5, 3,       O41, 2.103, 0.384,0,1.7489501731195423
    AZOQOV,       Fe5, 3,        O5, 1.932, 0.610,0,1.7489501731195423
    AZOQOV,       Fe6, 3,       O26, 2.003, 0.503,0,1.7489501731195423
    AZOQOV,       Fe6, 3,       O30, 1.972, 0.547,0,1.7489501731195423
    AZOQOV,       Fe6, 3,       O27, 2.032, 0.465,0,1.7489501731195423
    AZOQOV,       Fe6, 3,        O5, 1.877, 0.707,0,1.7489501731195423
    AZOQOV,       Fe6, 3,        O4, 2.138, 0.349,0,1.7489501731195423
    AZOQOV,       Fe6, 3,        O1, 2.143, 0.345,0,1.7489501731195423
    CAJKAB,       Fe1, 3,       O10, 2.027, 0.472,0,1.7489501731195423
    CAJKAB,       Fe1, 3,        O8, 2.072, 0.418,0,1.7489501731195423
    CAJKAB,       Fe1, 3,        O4, 2.062, 0.429,0,1.7489501731195423
    CAJKAB,       Fe1, 3,        O3, 1.929, 0.615,0,1.7489501731195423
    CAJKAB,       Fe1, 3,        O2, 1.949, 0.582,0,1.7489501731195423
    CAJKAB,       Fe1, 3,        O1, 2.026, 0.473,0,1.7489501731195423
    AZOQOV,       Fe8, 3,       O15, 2.083, 0.405,0,1.7489501731195423
    AZOQOV,       Fe8, 3,       O19, 2.122, 0.365,0,1.7489501731195423
    AZOQOV,       Fe8, 3,       O21, 2.111, 0.376,0,1.7489501731195423
    AZOQOV,       Fe8, 3,        O8, 1.935, 0.605,0,1.7489501731195423
    AZOQOV,       Fe8, 3,        O3, 1.909, 0.649,0,1.7489501731195423
    AZOQOV,       Fe8, 3,        O2, 1.898, 0.668,0,1.7489501731195423
    AZOQOV,       Fe9, 3,       O11, 2.135, 0.352,0,1.7489501731195423
    AZOQOV,       Fe9, 3,       O34, 2.045, 0.449,0,1.7489501731195423
    AZOQOV,       Fe9, 3,       O20, 1.946, 0.587,0,1.7489501731195423
    AZOQOV,       Fe9, 3,       O36, 2.018, 0.483,0,1.7489501731195423
    AZOQOV,       Fe9, 3,        O9, 2.113, 0.374,0,1.7489501731195423
    AZOQOV,       Fe9, 3,        O8, 1.889, 0.685,0,1.7489501731195423
    YOXJOL,       Fe2, 3,       O17, 1.988, 0.524,0,1.7489501731195423
    YOXJOL,       Fe2, 3,       O16, 2.083, 0.405,0,1.7489501731195423
    YOXJOL,       Fe2, 3,       O14, 1.892, 0.679,0,1.7489501731195423
    YOXJOL,       Fe2, 3,       O13, 2.055, 0.437,0,1.7489501731195423
    YOXJOL,       Fe2, 3,       O23, 2.027, 0.472,0,1.7489501731195423
    YOXJOL,       Fe2, 3,       O20, 1.970, 0.550,0,1.7489501731195423
    RORRAR,       Fe1, 3,       O1P, 2.001, 0.506,0,1.7489501731195423
    RORRAR,       Fe1, 3,       O3P, 2.024, 0.476,0,1.7489501731195423
    RORRAR,       Fe1, 3,       O1C, 2.001, 0.506,0,1.7489501731195423
    RORRAR,       Fe1, 3,       O3C, 2.024, 0.476,0,1.7489501731195423
    RORRAR,       Fe1, 3,        O3, 2.024, 0.476,0,1.7489501731195423
    RORRAR,       Fe1, 3,        O1, 2.001, 0.506,0,1.7489501731195423
    DUFNUO,       Fe3, 3,        O9, 2.000, 0.507,0,1.7489501731195423
    DUFNUO,       Fe3, 3,        O8, 2.014, 0.489,0,1.7489501731195423
    DUFNUO,       Fe3, 3,        O7, 1.999, 0.509,0,1.7489501731195423
    DUFNUO,       Fe3, 3,        O6, 1.995, 0.514,0,1.7489501731195423
