    HERNOH,       Fe1, 2,       O3A, 2.026, 0.409,0,1.6955119165400609
    HERNOH,       Fe1, 2,       O3B, 2.026, 0.409,0,1.6955119165400609
    HERNOH,       Fe1, 2,        O3, 2.026, 0.409,0,1.6955119165400609
    HERNOH,       Fe1, 2,        O1, 2.183, 0.268,0,1.6955119165400609
  PIDBEJ02,       Fe1, 2,       O1A, 2.082, 0.352,0,1.6955119165400609
  PIDBEJ02,       Fe1, 2,       O3A, 2.065, 0.368,0,1.6955119165400609
  PIDBEJ02,       Fe1, 2,        O3, 2.065, 0.368,0,1.6955119165400609
  PIDBEJ02,       Fe1, 2,        O2, 2.122, 0.316,0,1.6955119165400609
  PIDBEJ02,       Fe1, 2,        O1, 2.082, 0.352,0,1.6955119165400609
  PIDBEJ02,       Fe1, 2,       O2A, 2.122, 0.316,0,1.6955119165400609
    TENNUV,       Fe1, 2,       O5B, 2.156, 0.288,0,1.6955119165400609
    TENNUV,       Fe1, 2,       O4B, 2.099, 0.336,0,1.6955119165400609
    TENNUV,       Fe1, 2,        O5, 2.156, 0.288,0,1.6955119165400609
    TENNUV,       Fe1, 2,        O4, 2.099, 0.336,0,1.6955119165400609
    TENNUV,       Fe1, 2,       O2B, 2.115, 0.322,0,1.6955119165400609
    TENNUV,       Fe1, 2,        O2, 2.115, 0.322,0,1.6955119165400609
  MIJKOG02,       Fe3, 2,       O16, 2.078, 0.356,0,1.6955119165400609
  MIJKOG02,       Fe3, 2,       O13, 2.114, 0.323,0,1.6955119165400609
  MIJKOG02,       Fe3, 2,       O11, 2.104, 0.332,0,1.6955119165400609
  MIJKOG02,       Fe3, 2,        O9, 2.169, 0.278,0,1.6955119165400609
  MIJKOG02,       Fe3, 2,        O7, 2.131, 0.308,0,1.6955119165400609
  MIJKOG02,       Fe3, 2,        O1, 2.069, 0.364,0,1.6955119165400609
  MIJKOG02,       Fe2, 2,       O15, 2.071, 0.362,0,1.6955119165400609
  MIJKOG02,       Fe2, 2,       O12, 2.125, 0.313,0,1.6955119165400609
  MIJKOG02,       Fe2, 2,       O10, 2.135, 0.305,0,1.6955119165400609
  MIJKOG02,       Fe2, 2,        O5, 2.133, 0.307,0,1.6955119165400609
  MIJKOG02,       Fe2, 2,        O3, 2.137, 0.303,0,1.6955119165400609
  MIJKOG02,       Fe2, 2,        O1, 2.098, 0.337,0,1.6955119165400609
  MIJKOG02,       Fe1, 2,       O14, 2.080, 0.354,0,1.6955119165400609
  MIJKOG02,       Fe1, 2,        O8, 2.131, 0.308,0,1.6955119165400609
  MIJKOG02,       Fe1, 2,        O6, 2.140, 0.301,0,1.6955119165400609
  MIJKOG02,       Fe1, 2,        O4, 2.117, 0.320,0,1.6955119165400609
  MIJKOG02,       Fe1, 2,        O2, 2.127, 0.312,0,1.6955119165400609
  MIJKOG02,       Fe1, 2,        O1, 2.099, 0.336,0,1.6955119165400609
    EKULEB,       Fe1, 2,      O19B, 2.145, 0.297,0,1.6955119165400609
    EKULEB,       Fe1, 2,       O12, 2.173, 0.275,0,1.6955119165400609
    EKULEB,       Fe1, 2,       O19, 2.145, 0.297,0,1.6955119165400609
    EKULEB,       Fe1, 2,      O12B, 2.173, 0.275,0,1.6955119165400609
    EKULEB,       Fe1, 2,       O1B, 2.168, 0.279,0,1.6955119165400609
    EKULEB,       Fe1, 2,        O1, 2.168, 0.279,0,1.6955119165400609
  MIJKOG02,       Fe4, 2,       O17, 2.116, 0.321,0,1.6955119165400609
  MIJKOG02,       Fe4, 2,      O19B, 2.106, 0.330,0,1.6955119165400609
  MIJKOG02,       Fe4, 2,      O18B, 2.136, 0.304,0,1.6955119165400609
  MIJKOG02,       Fe4, 2,       O19, 2.106, 0.330,0,1.6955119165400609
  MIJKOG02,       Fe4, 2,      O17B, 2.116, 0.321,0,1.6955119165400609
  MIJKOG02,       Fe4, 2,       O18, 2.136, 0.304,0,1.6955119165400609
    ROJBOI,       Fe1, 2,        O5, 2.110, 0.326,0,1.6955119165400609
    ROJBOI,       Fe1, 2,        O4, 2.083, 0.351,0,1.6955119165400609
    ROJBOI,       Fe1, 2,        O1, 2.043, 0.391,0,1.6955119165400609
    ROJBOI,       Fe1, 2,        O9, 2.039, 0.395,0,1.6955119165400609
    ROJBOI,       Fe1, 2,        O8, 2.060, 0.373,0,1.6955119165400609
    KAPHUG,       Fe1, 2,       O1A, 2.113, 0.324,0,1.6955119165400609
    KAPHUG,       Fe1, 2,       O3A, 2.119, 0.318,0,1.6955119165400609
    KAPHUG,       Fe1, 2,        O3, 2.119, 0.318,0,1.6955119165400609
    KAPHUG,       Fe1, 2,        O2, 2.098, 0.337,0,1.6955119165400609
    KAPHUG,       Fe1, 2,        O1, 2.113, 0.324,0,1.6955119165400609
    KAPHUG,       Fe1, 2,       O2A, 2.098, 0.337,0,1.6955119165400609
    ICAHUP,       Fe2, 2,       O2U, 2.171, 0.277,0,1.6955119165400609
    ICAHUP,       Fe2, 2,       O2S, 2.171, 0.277,0,1.6955119165400609
    ICAHUP,       Fe2, 2,       O2L, 2.171, 0.277,0,1.6955119165400609
    ICAHUP,       Fe2, 2,       O2I, 2.171, 0.277,0,1.6955119165400609
    ICAHUP,       Fe2, 2,       O2G, 2.171, 0.277,0,1.6955119165400609
    ICAHUP,       Fe2, 2,        O2, 2.171, 0.277,0,1.6955119165400609
    JIWBAT,       Fe2, 2,       O5A, 2.117, 0.320,0,1.6955119165400609
    JIWBAT,       Fe2, 2,       O1A, 2.153, 0.290,0,1.6955119165400609
    JIWBAT,       Fe2, 2,       O3A, 2.118, 0.319,0,1.6955119165400609
    JIWBAT,       Fe2, 2,        O5, 2.117, 0.320,0,1.6955119165400609
    JIWBAT,       Fe2, 2,        O3, 2.118, 0.319,0,1.6955119165400609
    JIWBAT,       Fe2, 2,        O1, 2.153, 0.290,0,1.6955119165400609
    ECAJOH,       Fe1, 2,        O7, 2.104, 0.332,0,1.6955119165400609
    ECAJOH,       Fe1, 2,        O6, 2.116, 0.321,0,1.6955119165400609
    ECAJOH,       Fe1, 2,        O5, 2.113, 0.324,0,1.6955119165400609
    ECAJOH,       Fe1, 2,        O4, 2.135, 0.305,0,1.6955119165400609
    ECAJOH,       Fe1, 2,        O3, 2.112, 0.324,0,1.6955119165400609
    ECAJOH,       Fe1, 2,        O1, 2.130, 0.309,0,1.6955119165400609
    OTULAR,       Fe1, 2,       O1A, 2.074, 0.360,0,1.6955119165400609
    OTULAR,       Fe1, 2,       O3A, 2.136, 0.304,0,1.6955119165400609
    OTULAR,       Fe1, 2,        O3, 2.136, 0.304,0,1.6955119165400609
    OTULAR,       Fe1, 2,        O2, 2.039, 0.395,0,1.6955119165400609
    OTULAR,       Fe1, 2,        O1, 2.074, 0.360,0,1.6955119165400609
    OTULAR,       Fe1, 2,       O2A, 2.039, 0.395,0,1.6955119165400609
    VAWSUH,       Fe5, 2,        O3, 2.150, 0.293,0,1.6955119165400609
    VAWSUH,       Fe5, 2,       O1B, 2.142, 0.299,0,1.6955119165400609
    VAWSUH,       Fe5, 2,       O3B, 2.150, 0.293,0,1.6955119165400609
    VAWSUH,       Fe5, 2,       O2B, 2.091, 0.343,0,1.6955119165400609
